Time,Shank,Thigh,Wrist
1,-3.123560171,-2.081331723,-3.677808835
2,-2.60503552,-2.044516737,-3.690846234
3,-1.934438768,-2.019209784,-3.697674484
4,-1.285211379,-1.993349527,-3.691011741
5,-0.660889231,-1.921626219,-3.652477047
6,-0.009740297,-1.794392437,-3.559845178
7,0.57080604,-1.742082878,-3.376064805
8,1.019703053,-1.801228661,-3.126394698
9,1.316498615,-1.817704059,-2.814201631
10,1.477361001,-1.752260921,-2.463815946
11,1.616995891,-1.653339803,-2.104714618
12,1.863282406,-1.554985049,-1.76719994
13,2.207258554,-1.507001571,-1.472830243
14,2.561584531,-1.40864338,-1.22117096
15,2.847430025,-1.342792654,-0.976802814
16,3.04972793,-1.257003741,-0.68942289
17,3.230437314,-1.089486684,-0.335752299
18,3.447183986,-0.835004686,0.054103148
19,3.688761541,-0.571146764,0.422790578
20,3.900650539,-0.278550718,0.732737801
21,3.998211026,0.069491879,0.978577805
22,4.0,0.466856193,1.17705374
23,4.0,0.887483329,1.349194669
24,4.0,1.225307331,1.509178835
25,4.0,1.622906713,1.66479124
26,4.0,2.250591172,1.819715509
27,3.986021835,2.740375798,1.976946691
28,3.905658884,2.996088811,2.139382478
29,3.751551747,3.06450192,2.310814473
30,3.455255161,3.081515499,2.489942963
31,2.828019386,3.203799789,2.667819091
32,2.151874711,3.407471991,2.832958298
33,1.402698113,3.649847975,2.981193715
34,0.352881394,3.7963168,3.109346643
35,-0.557765656,3.783174973,3.214281309
36,-1.413386463,3.693281301,3.293553616
37,-2.133328963,3.564759455,3.346436042
38,-2.688141858,3.401376026,3.374963346
39,-3.080550923,3.276163006,3.38379449
40,-3.420453082,3.201957734,3.378583248
41,-3.322306544,3.130714871,3.363158395
42,-2.721650513,3.038991516,3.339672402
43,-2.70451804,3.005648941,3.312263816
44,-2.823644544,2.964428143,3.285150841
45,-3.001158039,2.909869627,3.25924863
46,-3.460980661,2.839874276,3.235574562
47,-3.909066105,2.71843747,3.211626567
48,-3.843738462,2.561264104,3.174397338
49,-3.362870812,2.429316585,3.11790032
50,-2.722598078,2.325660423,3.050025393
51,-2.212994327,2.210151872,2.980121463
52,-1.989013977,2.02835064,2.916980287
53,-2.00313205,1.804130586,2.859522092
54,-2.106340744,1.488358322,2.796200807
55,-2.188382112,1.023956255,2.720061618
56,-2.170115693,0.465183222,2.629936244
57,-2.067919625,-0.104987184,2.525192751
58,-1.993222004,-0.609102038,2.406148434
59,-1.963790761,-0.965540421,2.274953992
60,-1.920432719,-1.144599878,2.135724961
61,-1.88455393,-1.18850884,1.991672345
62,-1.873843566,-1.176571222,1.847619729
63,-1.875692711,-1.205011043,1.713180652
64,-1.876827636,-1.289135233,1.587425798
65,-1.871444081,-1.354425095,1.455769354
66,-1.870542989,-1.269707736,1.30603774
67,-1.888781036,-0.958432012,1.136342236
68,-1.916623873,-0.562045774,0.937650346
69,-1.938326375,-0.301309724,0.687973601
70,-1.957790336,-0.319374925,0.375794695
71,-1.990033941,-0.812834726,0.025009405
72,-2.030996901,-0.829284005,-0.317935125
73,-2.070504025,-0.133983746,-0.617287719
74,-2.105921507,0.474114441,-0.869774534
75,-2.154085858,0.341541448,-1.091499266
