Time,Shank,Thigh,Wrist
1,-3.2026677072616976,-3.4040412604210823,-3.227820921879076
2,-3.221210958851451,-3.260958505649524,-3.2337097544594933
3,-3.194158493712588,-3.097708106197341,-3.216693455136812
4,-3.1071694632658087,-2.9949674460060254,-3.1726507001612814
5,-2.979193359301541,-2.9247285119301702,-3.0986982810211505
6,-2.7241722766927507,-2.8611980115528066,-3.003108375284484
7,-2.224210658323865,-2.7843444045740595,-2.909273092530389
8,-1.4496615119799536,-2.7079520402188484,-2.825679374461872
9,-0.648282952943866,-2.657568466883397,-2.748477037049566
10,-0.0457513788615594,-2.6171333676429844,-2.67237966111159
11,0.4682696623401303,-2.579610146014482,-2.581191883231126
12,0.9862491726000072,-2.565987609775509,-2.481503740889217
13,1.4855620405549788,-2.585206304468333,-2.37948648150374
14,1.89064806345986,-2.6251408420418847,-2.279798876072165
15,2.1547241262424697,-2.6375974174193764,-2.166481801726128
16,2.3771349411539098,-2.6051826468804964,-2.0073668125116426
17,2.6273983625340347,-2.555423641425449,-1.7832835248324592
18,2.907995492916843,-2.555259560033135,-1.4871763999450438
19,3.20210010997199,-2.608512667395387,-1.127656942750647
20,3.520716767172772,-2.6682193908100222,-0.7278321634392574
21,3.835522549593888,-2.696079201407544,-0.3263279285925305
22,3.9928219824355713,-2.73834263616227,0.0294089952749972
23,4.0,-2.804165739219275,0.3111059836173875
24,4.0,-2.852273344854945,0.545940363892327
25,4.0,-2.843288943456666,0.7801299148520702
26,4.0,-2.790970419508673,1.014039735526021
27,4.0,-2.753910708910066,1.251815847539482
28,4.0,-2.717030202412736,1.4804430074039283
29,4.0,-2.6742866216482546,1.695749958708239
30,4.0,-2.6042820895614165,1.9033398977333504
31,3.998681143086839,-2.458124888056517,2.110639905176272
32,3.8830417377399065,-2.236314822664995,2.317627967713165
33,3.58442529172708,-2.0054235705377623,2.514839966827
34,3.240323706049608,-1.838406860416936,2.684898262538012
35,2.800733842549409,-1.7257298242977597,2.8097798486409493
36,2.2268075582982387,-1.6707867542082493,2.881872410372384
37,1.5691454872633903,-1.6440596345124798,2.896781336620835
38,0.8608324768158484,-1.5888194031917444,2.8517726799483505
39,0.1169625334771191,-1.387787939923173,2.7335885133939266
40,-0.6270716144287326,-1.0432767507725658,2.546993916201852
41,-1.3039707725362373,-0.666223004192329,2.3202174862703573
42,-1.8788561823078984,-0.2729917396928201,2.072585848103892
43,-2.258306834979523,0.261183928530033,1.8072189876730065
44,-2.1352222237118847,0.9384143745128872,1.5228841588430353
45,-2.373936274153309,1.6086051994708608,1.2295431960138126
46,-2.907747287747524,2.17185956863412,0.9495449919788924
47,-3.3349615370971377,2.55723307355354,0.707180444222157
48,-3.4643457189532034,2.7493693594067623,0.5189702838248924
49,-3.3173888009400434,2.829812341359236,0.3715309468071501
50,-3.155284723481997,2.851753123666424,0.2507712213643024
51,-2.838049093131614,2.901466760994563,0.1434605629625698
52,-2.432677847842866,3.014857588977048,0.0482421991793713
53,-2.226431216617027,3.143975278151508,-0.0257869981390041
54,-2.1899673619693907,3.1944669788560898,-0.0711167271932406
55,-2.0979226342588846,3.118218280236106,-0.0868965220089277
56,-2.014388543836508,2.9174733923024574,-0.0721916216886804
57,-1.951978943849033,2.6580024886308213,-0.0508666169085012
58,-1.865566053126108,2.4254144685573022,-0.0410948487681297
59,-1.841969002591324,2.2675273378408582,-0.0439383259149102
60,-1.882028747426445,2.1676705782498686,-0.0548451225085096
61,-1.9509139870612968,2.0852820597885806,-0.0724799425398563
62,-1.996755536060878,2.00950745809474,-0.1029968522960334
63,-2.0184438271481167,1.938041316186076,-0.1560172850229468
64,-1.996659196387118,1.83746395951274,-0.2345259252861093
65,-1.9094537576091424,1.6787382745839812,-0.3186071579409665
66,-1.7622230071242675,1.434265317532021,-0.3781569572807965
67,-1.630959964340082,1.1350678135351218,-0.4113079491521759
68,-1.5245454386901791,0.8164209935336522,-0.474991421179514
69,-1.449629715141855,0.5123728806350676,-0.6248377272397522
70,-1.4066261525908894,0.2665101466288568,-0.8665681838880301
71,-1.3757352870512949,0.1264799106626112,-1.1783933589023423
72,-1.3604300925750703,0.028568687580434,-1.5184261923117626
73,-1.3470440982992125,-0.1032612594475509,-1.831185054402784
74,-1.3236648798346469,-0.1983226080245799,-2.080609436185759
75,-1.2918220074696454,-0.2369293717506829,-2.266506049939244
76,-1.2680355996450614,-0.258656167725964,-2.4058777722274662
77,-1.264689812945608,-0.3513145178478556,-2.512865210606101
78,-1.2879366236812178,-0.5614914393652459,-2.588672654961889
79,-1.3376664039472703,-0.8049247101756315,-2.6457585727634654
80,-1.3948333222795828,-0.9222315636455808,-2.6980128344389334
81,-1.461990617322565,-0.8425159839945111,-2.745020945207831
82,-1.536779628098013,-0.6550783238178618,-2.7799582377716825
83,-1.6083680735541577,-0.5065408079212825,-2.796789839938304
84,-1.68991130224544,-0.4611636073899031,-2.781918497413467
85,-1.7722964352778336,-0.5532639295508358,-2.728029343760669
86,-1.8747439494354368,-0.8085534041926503,-2.6896225365966475
87,-2.011457065192187,-1.2438900711381469,-2.681939349668696
88,-2.163707444885584,-1.5048724895712264,-2.696210963346675
89,-2.338489918326029,-0.7659141701201523,-2.7125255208583967
90,-2.51961419994588,-0.4506472755730663,-2.741562168814408
91,-2.6845434502013488,-1.222520171094459,-2.7963264863171435
92,-2.840145786129963,-1.9973336773749424,-2.879596984362557
93,-2.9942830946059185,-2.428225780154542,-2.9804470006745607
94,-3.149462105465612,-2.725269810394282,-3.0825630515621194
95,-3.302371676325751,-3.103044910192349,-3.170650709154529
96,-3.4472641727583966,-3.4652307654500505,-3.2500323656262755
97,-3.585193636218785,-3.6279284298894696,-3.3119193356647334
98,-3.7344446723745177,-3.5150064058850186,-3.3562826261116823
99,-3.870780497290688,-3.1996926309402243,-3.387367050094473
100,-3.969295644272164,-2.8984974170885915,-3.403776103825574
101,-3.988733953126476,-2.760646363484707,-3.395753052654059
102,-3.931304592234617,-2.7700194185034785,-3.3509715090542875
103,-3.847957011623996,-2.8838019246482576,-3.270422072598731
104,-3.729524230317785,-3.023242374964725,-3.158724856740577
105,-3.4839306729266744,-3.090599676846616,-3.0272763203011084
106,-3.0372752672446928,-3.055260930528641,-2.888060838921058
107,-2.4544757668347086,-3.010952149385903,-2.756265995313982
108,-1.7897135093019294,-3.014424323365104,-2.636299823349786
109,-0.9551831871607922,-3.05540308399294,-2.511383874985255
110,-0.1502718570338108,-3.09674630190692,-2.3644712470084874
111,0.5161789549779627,-3.159223505604611,-2.192314168788634
