Time,Shank,Thigh,Wrist
1,-1.845599945,-2.384057816,-3.571167058
2,-1.195263493,-2.403021296,-3.521835288
3,-0.869305402,-2.273468026,-3.424775958
4,-0.765493323,-2.120470703,-3.275293988
5,-0.656694741,-1.999674913,-3.111132111
6,-0.483514366,-1.870967184,-2.946364622
7,-0.27043224,-1.756091331,-2.797218015
8,0.103451765,-1.66589695,-2.662150888
9,0.676241074,-1.563508573,-2.528594623
10,1.335135675,-1.453467984,-2.383691912
11,2.180852559,-1.351775263,-2.207881072
12,2.865536,-1.259993345,-1.993089766
13,3.20633643,-1.143222746,-1.72485475
14,3.36782976,-0.962595997,-1.39573523
15,3.491307196,-0.75201029,-1.024687854
16,3.601884655,-0.613780775,-0.649425392
17,3.779960296,-0.555877743,-0.302392191
18,3.999666548,-0.564290828,0.007210015
19,3.900620523,-0.62576596,0.30177102
20,3.508247506,-0.72798786,0.611709741
21,3.216128353,-0.826290404,0.94887048
22,3.139942808,-0.8443088,1.302927288
23,3.071262722,-0.833056456,1.659311467
24,2.966323851,-0.85493185,2.002335872
25,2.957785153,-0.905091136,2.314101226
26,2.940684601,-0.924921898,2.573545354
27,2.853267267,-0.90277934,2.780125454
28,2.75161846,-0.918174153,2.945489336
29,2.630058838,-0.992943973,3.069421492
30,2.376289957,-1.03227197,3.144726026
31,2.027871992,-0.913396097,3.190154448
32,1.579231656,-0.719522143,3.244816298
33,0.94336843,-0.559241032,3.339092462
34,0.343443966,-0.390362624,3.465395207
35,-0.4698581,-0.208100855,3.592563443
36,-1.281030701,0.209703838,3.710404901
37,-1.955693897,1.023795956,3.821669328
38,-2.475336445,1.927431993,3.911958015
39,-2.871644664,2.77623252,3.948446883
40,-3.143017981,3.378830459,3.92089584
41,-2.686269193,3.67626957,3.841615354
42,-2.232408011,3.676909161,3.715571334
43,-2.108303961,3.465209604,3.543206319
44,-3.024185259,3.416879846,3.339554594
45,-3.448700774,3.475280592,3.12869199
46,-3.316373881,3.417938776,2.912007786
47,-3.174825175,3.336575674,2.670256068
48,-2.824996521,3.314281514,2.417928893
49,-2.299764939,3.353618092,2.201642284
50,-1.838748423,3.418795759,2.053279343
51,-1.470162607,3.452089402,1.984381279
52,-1.058141832,3.411529705,1.972636662
53,-0.712570254,3.272107964,1.989975271
54,-0.591963287,3.075171066,2.020450655
55,-0.71693987,2.879695273,2.031588507
56,-0.921220705,2.683918563,2.00353442
57,-1.059077814,2.43485555,1.951584284
58,-1.159343719,2.120013607,1.905131334
59,-1.177170457,1.784070302,1.893689811
60,-0.98216701,1.453167067,1.912972603
61,-0.700257523,1.166020341,1.907724346
62,-0.49740405,0.920369244,1.824794052
63,-0.407014357,0.672500744,1.653475461
