Time,Shank,Thigh,Wrist
1,-4.0,-3.4359885559403702,-3.756748123302987
2,-3.99331330597531,-3.582861709890774,-3.7305633055721583
3,-3.915540896613922,-3.721376530411315,-3.6671228537439657
4,-3.782988903740119,-3.712666072069772,-3.5632964911521583
5,-3.678676572499632,-3.5513928625207054,-3.4271828738610672
6,-3.49570231098085,-3.340358843084334,-3.272694639374498
7,-3.0133827633705605,-3.1899829729072287,-3.1086099167805785
8,-2.271463558693981,-3.10228533700902,-2.939540789481414
9,-1.5240170946142635,-2.996759060845793,-2.767583367654197
10,-0.9396524908825084,-2.8344665423418616,-2.59265111464024
11,-0.4781105658496036,-2.64594998436287,-2.4050433778356086
12,0.0176669268467544,-2.480469808763735,-2.190851258974841
13,0.5389204514748354,-2.364416851030314,-1.9455390619532984
14,0.9886310795001296,-2.286764041560006,-1.667520815538568
15,1.356775696874469,-2.1734539515596563,-1.3704821320495937
16,1.7037834436963777,-2.0418704319321628,-1.0793322147668911
17,2.053108148867908,-1.91139888570998,-0.8086247134808547
18,2.3839521254300857,-1.858839609419341,-0.5649086370529649
19,2.6972607879342307,-1.891253634183918,-0.3387103580641161
20,3.017986583497413,-1.9971135023687403,-0.1087055344466614
21,3.293473886714948,-2.106346356549641,0.1567697040499744
22,3.547455994660963,-2.1463032675801834,0.4635747439022427
23,3.772281212101236,-2.0899632817115106,0.8005052245172284
24,3.939084537509733,-1.92724450673554,1.1598663275711747
25,4.0,-1.7242352287074358,1.5021476582485749
26,4.0,-1.5515828246441097,1.7963514649000438
27,4.0,-1.4365306429754543,2.034388172468629
28,4.0,-1.3573581365178984,2.2137605039211303
29,4.0,-1.2417129023664106,2.3307826386095587
30,4.0,-1.0200410040193215,2.405230339752538
31,4.0,-0.7235518283854335,2.4618819372886995
32,4.0,-0.2754636118286018,2.5215024900656458
33,4.0,0.3921281549349943,2.590927325766184
34,4.0,1.1916555662377248,2.661549251911953
35,3.995378504108397,1.905171834640292,2.7148830766880394
36,3.860236772840111,2.3893435881991905,2.7357742012853365
37,3.435463304784004,2.692356341144188,2.728207585418893
38,2.8902490867571484,2.9458677446631096,2.710355393237
39,2.242947772952189,3.137942617539067,2.7002658598458686
40,1.5716389488581108,3.18638759223008,2.708929675076214
41,0.921372883812368,3.0086942420627025,2.7407078591845586
42,0.2326978597336139,2.8905285348592136,2.7942430686540183
43,-0.5316604894049026,3.0625878864397205,2.864642243030196
44,-1.326931362437799,3.427315163379018,2.9489139916422684
45,-2.08802160599488,3.678343159626104,3.043824941681238
46,-2.7492557219167177,3.7794215421681177,3.1459686470207093
47,-3.228634882178171,3.847919103934764,3.2541619058149984
48,-2.8636757242420887,3.900293051324523,3.3684762977694387
49,-1.512308094789681,3.909133239896679,3.4843136280814675
50,-0.9509382278003716,3.8648766983656273,3.5916575455960067
51,-1.4002996400413914,3.7827945281642,3.677444754088991
52,-2.358572593619286,3.6938737215201582,3.731256133018597
53,-3.1227742494921067,3.6330673091401886,3.756060637625605
54,-2.89414109906114,3.605471835798592,3.760006068249647
55,-2.253170575369431,3.5722238309800423,3.7363190617289495
56,-2.0320821101375715,3.503837466553924,3.66591881899896
57,-1.9337370215249703,3.392380665562411,3.540136183060289
58,-1.814704122328716,3.23700091506144,3.356488833833052
59,-1.7768760749149082,3.0440364634612425,3.118521035085274
60,-1.744336425218708,2.831019424785422,2.839502809503432
61,-1.7117719339072115,2.6074386387592177,2.5369669114799422
62,-1.6455355885101106,2.3977575202992982,2.229162960814384
63,-1.518649872540422,2.232925995853265,1.9359383004307056
64,-1.4072791784925611,2.1093857505241327,1.6728027567801746
65,-1.3509446054073635,2.021428654164686,1.4475473000295382
66,-1.3077092071565593,1.917181147417552,1.2568765928487615
67,-1.2772247234026488,1.7451588616172158,1.0912518382362744
68,-1.257511468495967,1.5027486592612331,0.9428174306197704
69,-1.231923649295392,1.1998471036567655,0.7998877160144613
70,-1.2175675842717462,0.8004262564720205,0.6497364638236732
71,-1.2300820256999632,0.3546731840663392,0.4795957776520667
72,-1.2768229580475865,-0.1197688021961518,0.2874197599515816
73,-1.3413041477794243,-0.5864084417314464,0.0831643998869646
74,-1.4008881952345538,-1.000766798327422,-0.0978991356483502
75,-1.4553214293029426,-1.3212190008455789,-0.2337440619559756
76,-1.5160142727022958,-1.5374236966165928,-0.3591506373531762
77,-1.585033356735805,-1.6213776887169458,-0.5266535579654067
78,-1.6553637914228674,-1.5247471997961342,-0.7467061316564483
79,-1.7195459263244242,-1.340882397229327,-0.997319500288188
80,-1.7774459988965765,-1.2221236375430022,-1.25755766840328
