Time,Shank,Thigh,Wrist
1,-3.967761887803873,-3.537155844529474,-2.497247270133338
2,-3.891996180923332,-3.5242917283952635,-2.480510486579772
3,-3.790083928290572,-3.501493176955397,-2.447971634577533
4,-3.671897910722343,-3.500701100872217,-2.399001371914636
5,-3.488747721602065,-3.529486023253668,-2.334075375597343
6,-3.224898193373134,-3.5642588560831823,-2.25110937775563
7,-2.7962970427230074,-3.5840392050719814,-2.148421380580328
8,-2.1121229105295463,-3.626814392576655,-2.034207024836689
9,-1.2760703353514558,-3.691908575253149,-1.910637198590316
10,-0.4531216237757857,-3.75993474801791,-1.7847007324239124
11,0.311229297741628,-3.813666603129952,-1.6533120877320622
12,0.9965728983591297,-3.809810139401349,-1.5072860981253886
13,1.57263689616463,-3.7684512978568807,-1.3360736961687785
14,2.0941571273853685,-3.724523019999825,-1.131918704010168
15,2.621910344473537,-3.6694279319010863,-0.9120306459315696
16,3.1245074532612374,-3.5935964612904074,-0.6989048356641715
17,3.5728396224126624,-3.5255256428377666,-0.4994381004191036
18,3.914791788421003,-3.435746243532027,-0.3019107766717906
19,4.0,-3.1917190716275465,-0.1011985702529262
20,4.0,-2.9161797416150046,0.0906123099654759
21,4.0,-2.7409585025066487,0.2887435281837114
22,4.0,-2.6332361551941816,0.5125148136745191
23,4.0,-2.518865449154379,0.7474630406735101
24,4.0,-2.3404851427521822,0.963057281825237
25,4.0,-2.125493063031912,1.1460510091405718
26,4.0,-1.892982169339743,1.295884372315866
27,4.0,-1.6852088354970896,1.403331586451941
28,4.0,-1.5226038519799183,1.4699307717449577
29,4.0,-1.2840165262171643,1.5074887012947218
30,4.0,-0.8908373481577523,1.519835749512746
31,3.775120048228022,-0.3312044203849439,1.5148665886881
32,3.1942447810998256,0.3051090158214291,1.51482548079867
33,2.474349707291217,0.8244353547277945,1.538199230976605
34,1.6572388095769128,1.258870997150871,1.5855711797481002
35,0.7672532793665711,1.678832969416455,1.655596511873238
36,-0.1543685782590178,2.0784249617119994,1.747870999772624
37,-1.033361004985637,2.493260377404248,1.8516018649523909
38,-1.8345632205315288,3.031747413941855,1.952761529524243
39,-2.483805752147308,3.590775315668591,2.0379869931456875
40,-2.973022176333375,3.910499251366869,2.097361466871415
41,-2.881682279325038,3.990839936453021,2.125203253126662
42,-2.3765546655339675,3.87808802147534,2.118298106461725
43,-2.5206455119674724,3.75747692592501,2.078856065313094
44,-2.990509540576828,3.790813399210101,2.0135561829538444
45,-3.286262688961204,3.859363004177548,1.938354193038368
46,-3.222469991782501,3.866809597013973,1.909106419088693
47,-3.150886187641384,3.734311202190012,1.9295419339316693
48,-3.2110992683488107,3.437529761787343,1.8911437395467727
49,-3.235366239635588,3.0355015004896075,1.7616323551388828
50,-3.1475477865697528,2.6277485843516213,1.6138837492132407
51,-3.046655559140492,2.329812514090085,1.481515366489988
52,-2.9949622464676,2.152153466473059,1.351599754502707
53,-2.910501752478773,2.046664173307633,1.2368079307885065
54,-2.7242899832860488,1.9915921778060688,1.1535253043222555
55,-2.519011666287511,1.869744858553509,1.0883888747614492
56,-2.3549049565564646,1.6885695781396228,1.017188052750474
57,-2.211148100676331,1.4460973077784145,0.9372077600684224
58,-2.057643835808784,1.1176028036722234,0.8646376538357253
59,-1.8807853065720428,0.7126548683380254,0.7990661657784536
60,-1.701820029115091,0.3206380176698699,0.7344156901962641
61,-1.6204336523816538,-0.051369867297438,0.6728517319787627
62,-1.5991159280082354,-0.4537622218773261,0.60837841182483
63,-1.599745796078833,-0.8738858423231785,0.5336824404530485
64,-1.596633565787331,-1.2945444412702851,0.4446637952724361
65,-1.5823336549329712,-1.6139396923354083,0.3279046654212391
66,-1.5984855584503217,-1.6987380184300114,0.1835768231517203
67,-1.6325064580596451,-1.5454609046659622,0.0246101678284642
68,-1.6520037834710657,-1.2749265102149634,-0.133092419894825
69,-1.6653859725346678,-1.0006280224240645,-0.2888619580556398
70,-1.6553261369485384,-0.7429177169388284,-0.4596334289601461
71,-1.6524270387669129,-0.5397182568437554,-0.6577049428627804
72,-1.6781448128628005,-0.5113066647833396,-0.8868182964609219
73,-1.70363792064051,-0.719781243826945,-1.1436408144329329
74,-1.7106447014385853,-1.0798009918463034,-1.4060412814968597
