Time,Shank,Thigh,Wrist
1,-2.789389171,-3.416316078,-4.0
2,-2.030277558,-3.345779756,-4.0
3,-1.165643674,-3.183858395,-4.0
4,-0.347035991,-3.040885018,-4.0
5,0.36508747,-2.938124337,-4.0
6,0.949528595,-2.898853749,-3.987219263
7,1.398638191,-2.875163416,-3.890657891
8,1.71302204,-2.799851098,-3.747507764
9,1.946827705,-2.663938022,-3.588022291
10,2.244757022,-2.558479487,-3.426763079
11,2.702927587,-2.54129092,-3.277234541
12,3.255623096,-2.535982083,-3.142991705
13,3.746348706,-2.461741565,-3.020534919
14,4.0,-2.41495614,-2.901613025
15,4.0,-2.293490955,-2.776646659
16,4.0,-2.239464149,-2.639095892
17,4.0,-2.237300972,-2.486094551
18,4.0,-2.261240902,-2.322141169
19,4.0,-2.162302486,-2.170408462
20,4.0,-1.961049973,-2.054604875
21,4.0,-1.770311134,-1.964417719
22,4.0,-1.637183392,-1.861338234
23,4.0,-1.572346209,-1.703366396
24,4.0,-1.488919531,-1.460082668
25,4.0,-1.302565163,-1.11833
26,4.0,-0.977200387,-0.71706017
27,4.0,-0.571698969,-0.323853972
28,4.0,-0.163660589,0.017698583
29,3.802952914,0.132107941,0.299065258
30,3.394758601,0.658863488,0.54622453
31,2.747426442,1.513258328,0.794241725
32,1.702336196,2.194304777,1.055383246
33,0.78248582,2.532269935,1.31382724
34,-0.139092111,2.720863338,1.550189695
35,-1.174342892,3.023615087,1.761442082
36,-2.395311754,3.307982893,1.959394363
37,-3.140069313,3.358823663,2.149465505
38,-3.703701571,3.267885819,2.328882467
39,-3.585884909,3.209264098,2.49024656
40,-3.194748762,3.206702667,2.630254467
41,-3.159018726,3.232985019,2.753649723
42,-3.445530104,3.353258499,2.86553036
43,-3.500836819,3.473980398,2.967040833
44,-2.867843676,3.454435338,3.057563606
45,-2.737485583,3.219725773,3.139633431
46,-2.997807366,2.816204004,3.210679477
47,-2.809211599,2.42218345,3.279585961
48,-2.329923691,2.205453457,3.345110259
49,-2.034253386,2.189853625,3.406160355
50,-1.913382889,2.245204275,3.464426084
51,-1.870042325,2.218036097,3.520975548
52,-1.851618784,2.113133651,3.575127444
53,-1.85804567,1.994353473,3.624146909
54,-1.840227912,1.88999855,3.665088897
55,-1.598011742,1.7849554,3.696233789
56,-1.300282634,1.66001604,3.712514597
57,-1.164444137,1.508354475,3.70100669
58,-1.160559391,1.32564435,3.651180905
59,-1.209605487,1.084774381,3.562999484
60,-1.267371423,0.753782042,3.443969353
61,-1.326535386,0.365450226,3.313364192
62,-1.370516963,-0.046510746,3.194023616
63,-1.358097119,-0.489154446,3.099986088
64,-1.290741764,-0.992471705,3.028622044
65,-1.219502523,-1.601421236,2.974884635
66,-1.189241721,-2.253131437,2.936489984
67,-1.210165729,-2.760699802,2.917711342
68,-1.264169795,-2.842284476,2.901157844
69,-1.326582216,-2.388465178,2.843487836
70,-1.384180596,-1.701988153,2.724343596
71,-1.436753552,-1.16094683,2.556752959
72,-1.487778539,-0.839292367,2.351437647
73,-1.530862612,-0.579036395,2.082362966
74,-1.555598328,-0.116608437,1.723406541
75,-1.584504496,0.166158398,1.274284777
76,-1.65288066,-0.70409933,0.740183802
77,-1.767768941,-1.331731955,0.145216902
78,-1.902807032,-0.740653712,-0.436799775
79,-2.026021609,0.285451841,-0.92268509
80,-2.127346363,0.755880372,-1.283328831
81,-2.199216735,0.365753047,-1.556717037
82,-2.263090341,-0.595097493,-1.804290378
83,-2.342762427,-1.772232666,-2.061705704
84,-2.438084342,-2.948771987,-2.327117119
85,-2.541410757,-3.821093787,-2.582252763
86,-2.64679211,-3.967945098,-2.812122696
87,-2.730502751,-3.352205052,-3.011774881
88,-2.762063194,-2.718823736,-3.183689112
89,-2.685023042,-2.514913133,-3.331268551
90,-2.498308211,-2.449284947,-3.455867835
91,-2.259221491,-2.398294908,-3.558348663
92,-2.008266148,-2.478563078,-3.644025957
93,-1.811716577,-2.756890996,-3.718644652
94,-1.81965921,-3.071598946,-3.787465554
95,-2.0095297,-3.301196048,-3.857903293
96,-2.371524668,-3.324023802,-3.936086247
97,-2.709348888,-3.158119896,-3.994143893
98,-2.73872035,-2.945430565,-4.0
99,-2.379342278,-2.804794104,-4.0
100,-1.723373198,-2.756233356,-4.0
101,-0.902225093,-2.763256339,-4.0
102,-0.022817833,-2.765870382,-4.0
103,0.767054676,-2.744356073,-4.0
104,1.329369678,-2.723579544,-4.0
105,1.64353914,-2.717808829,-4.0
106,1.770808168,-2.747857164,-3.988662838
107,1.855334254,-2.761758756,-3.909866124
108,2.075470701,-2.731229579,-3.80381936
109,2.505590498,-2.632827674,-3.695224419
110,3.048383816,-2.491154895,-3.584911955
111,3.538092913,-2.374050934,-3.466617667
112,3.872918292,-2.222950962,-3.329383639
113,3.990824318,-2.032886893,-3.179483823
114,4.0,-1.875176875,-3.023542472
115,4.0,-1.74218372,-2.858341851
116,4.0,-1.610600667,-2.665610101
117,4.0,-1.469128544,-2.420986838
