Time,Shank,Thigh,Wrist
1,-3.939172225808765,-4.0,-3.698569475731146
2,-3.890375085255369,-3.645475085610384,-3.6542839261982185
3,-3.762346285432708,-3.3919611689783804,-3.563278790961427
4,-3.548686665423965,-3.3386637550203364,-3.436671819997735
5,-3.248081559193916,-3.401526063231368,-3.27910545435952
6,-3.007216988747849,-3.487329151243192,-3.0782508500935464
7,-3.131752327474677,-3.520032109744576,-2.8205278883557567
8,-3.5210757998531355,-3.441044178960804,-2.5132206477614125
9,-3.447280332620097,-3.283387373965421,-2.1886381896025195
10,-2.5730312576243985,-3.083698096970405,-1.8768997153272184
11,-1.5070693287214292,-2.8348400933019424,-1.59026194929849
12,-0.8197777590653792,-2.5547383557531744,-1.3196414291243497
13,-0.4754221025588189,-2.3036605619035213,-1.0547698705730122
14,-0.1331699117086635,-2.100788202390027,-0.788560493622533
15,0.323507644135268,-1.935806702058816,-0.5082440096792131
16,0.7951080988945566,-1.815310123498361,-0.2075573474697825
17,1.2256957714054992,-1.7600255789490682,0.1120648282997044
18,1.6677661401045407,-1.742733937261845,0.4394584050585556
19,2.161165101182516,-1.7282641434666104,0.7496962767167261
20,2.6353896101559453,-1.7102003712689215,1.0178837909997545
21,3.0415883084926296,-1.686233712340564,1.2257561465369702
22,3.412563553187244,-1.619372652463886,1.3585458269448012
23,3.773190840808101,-1.583140343223917,1.4199953238172838
24,3.9690564080493087,-1.6165542060278923,1.439517066618091
25,4.0,-1.681777804989426,1.4627905735316908
26,4.0,-1.7425795111597524,1.5180851785162706
27,4.0,-1.7549608109751376,1.6013400335008403
28,4.0,-1.7072064097036714,1.6841580498244666
29,4.0,-1.6575900514215098,1.7369161057919713
30,4.0,-1.531039561484294,1.7531440438780737
31,4.0,-1.3829163573467562,1.753371735727292
32,4.0,-1.197277814768609,1.7633293905810916
33,4.0,-0.9918958610233014,1.7974924404825046
34,4.0,-0.7646377832030962,1.8610488596701555
35,4.0,-0.5283229886552908,1.9536004449778792
36,4.0,-0.3425783206501502,2.0702209132516707
37,4.0,-0.0969965993943663,2.202828749264092
38,3.657062167629989,0.4128054613777629,2.3480688466487103
39,3.074106141049733,1.1795099692423536,2.51129556984168
40,2.408947022077508,1.94199803225775,2.7004621642277806
41,1.7026273408792043,2.6537180039916257,2.9202466155145776
42,0.940361422804512,3.136398215256044,3.159463175254299
43,0.0751058150221416,3.347793262906186,3.3951680260887755
